index,address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
166,"151 FARMINGTON AVENUE, HARTFORD, CT 06156",41.766904,-72.692237,1,rooftop,151,Farmington Ave,Hartford,CT,Hartford County,6160,US
176,"P. O. BOX 110544, NAPLES, FL 34108",26.241595,-81.807056,1,place,,,Naples,FL,Collier County,34108,US
177,"7681 EAST GRAY ROAD, SCOTTSDALE, AZ 85260",33.611833,-111.914908,1,rooftop,7681,E Gray Rd,Scottsdale,AZ,Maricopa County,85260,US
180,"ONE BUSCH PLACE, ST. LOUIS, MO 63118",38.593751,-90.222012,1,place,,,Saint Louis,MO,St. Louis city,63118,US
199,"TWO QUAKER ROAD BOX 2900, POMONA, NY 10970",41.18416,-74.045358,1,place,,,Pomona,NY,Rockland County,10970,US
206,"P. O. BOX 70807, CHARLOTTE, NC 28272",35.26002,-80.804151,1,place,,,Charlotte,NC,Mecklenburg County,28272,US
218,"515 SOUTH FLOWER STREET, SUITE 4800, LOS ANGELES, CA 90071",34.051341,-118.256611,1,rooftop,515,S Flower St,Los Angeles,CA,Los Angeles County,90071,US
246,"CRITICAL RADIO SYSTEMS, INC.  P. O. BOX 2000, LYNCHBURG, VA 24501",37.359607,-79.141653,1,place,,,Lynchburg,VA,Lynchburg city,24501,US
259,"P. O. BOX 2037, TACOMA, WA 98401",47.253671,-122.444335,1,place,,,Tacoma,WA,Pierce County,98401,US
263,"7009 N. LOGAN, UNIT 120, PANAMA CITY BEACH, FL 32408",30.142185,-85.732678,0.22,place,,,Panama City,FL,Bay County,32408,US
278,"645 WEST 9TH STREET, UNIT 110-425, LOS ANGELES, CA 90015",34.045821,-118.261142,1,rooftop,645,W 9th St,Los Angeles,CA,Los Angeles County,90017,US
301,"1400 VILLAGE SQUARE BLVD      NO 3 PMB 243, TALLAHASSEE, FL 32312",30.510854,-84.249336,1,range_interpolation,1400,Village Square Blvd,Tallahassee,FL,Leon County,32312,US
314,"315 S. CALHOUN ST. SUITE 804  BARRY H. HORENBEIN, TALLAHASSEE, FL 32301",30.439581,-84.279439,1,range_interpolation,315,S Calhoun St,Tallahassee,FL,Leon County,32301,US
319,"4300 NORTH POINT PKWY, ALPHARETTA, GA 30022",34.06964,-84.25937,1,range_interpolation,4300,N Point Pkwy,Alpharetta,GA,Fulton County,30022,US
416,"PANAMA CITY BRANCH            2215 E. 17TH STREET, PANAMA CITY, FL 32404",30.205603,-85.831527,1,street_center,,Back Beach Rd,Panama City Beach,FL,Bay County,32407,US
420,"ONE LINDEN PLACE, GREAT NECK, NY 11021",40.784319,-73.731488,1,place,,,Great Neck,NY,Nassau County,11021,US
431,"FINANCIAL SERVICES CENTER     P. O. BOX 2810, COLORADO SPRINGS, CO 80901",38.861469,-104.857828,1,place,,,Colorado Springs,CO,El Paso County,80901,US
479,"1331 W. MEMORIAL ROAD         SUITE 112, OKLAHOMA CITY, OK 73114",35.609261,-97.535794,1,range_interpolation,1331,W Memorial Rd,Oklahoma City,OK,Oklahoma County,73114,US
503,"931 FAIRFAX PARK, TUSCALOOSA, AL 35406",33.238603,-87.548377,0.9,rooftop,931,Fairfaxpark,Tuscaloosa,AL,Tuscaloosa County,35406,US
514,"400 SECOND AVENUE SOUTH, MINNEAPOLIS, MN 55401",44.97847,-93.267609,1,rooftop,400,2nd Ave S,Minneapolis,MN,Hennepin County,55401,US
