,id,pac_name,date_of_deposit,amount,contributor,notes,relevant_amounts,source_docs,address,city,state,zip,address_full,occupation,type,employer,in_kind_description,lat,lng,accuracy
72,72,Friends of Matt Caldwell,2/23/17,5000,Free Markets for Florida,Chaired by Ray Rodrigues; also associated with Travis Cummings and Manny Diaz,"$5,000 from Collier Enterprises on 2/23/17",PAC website: http://bit.ly/2xc0WXLhttp://bit.ly/2xc5Owf,Post Office Box 3,Estero,FL,33929,"Post Office Box 3, Estero, FL 33929",Political Comm,Check,,,26.43745,-81.787571,
117,117,Friends of Matt Caldwell,3/6/17,500,ABC of Florida Political Action Com,"chaired by Richard Watson, principal lobbyist for Associated Builders & Contractors of Florida",,Florida division of elections: http://bit.ly/2xc8Lge; Facebook: http://bit.ly/2xcffLV; Apalache Times: http://bit.ly/2xctLDy; Company website: http://bit.ly/2xc0ysm,3730 Coconut Creek Parkway Ste 200,Coconut Creek,FL,33,"3730 Coconut Creek Parkway Ste 200, Coconut Creek, FL 00033",Political Comm,Check,,,26.2445672,-80.1741745,
59,59,Friends of Matt Caldwell,2/16/17,500,Alliance of Florida PPECS PAC,"PAC for Prescribed Pediatric Extended Care, nursing intervention and medical supervision to children with special health care needs, according to their website",,Company website: http://bit.ly/2xczpFO,2568 Centerville Court,Tallahassee,FL,32308,"2568 Centerville Court, Tallahassee, FL 32308",Political Comm,Check,,,30.482956,-84.2289179,
151,151,Friends of Matt Caldwell,6/27/17,20000,Associated Industries of Florida P,"Associated Industries of Florida PAC, a florida business trade org",,Company website: http://bit.ly/2xbL0VJ,Post Office Box 10085,Tallahassee,FL,32302,"Post Office Box 10085, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
104,104,Friends of Matt Caldwell,3/2/17,5000,Auto Tag America LLC,Tech company that provides title and registration for vehicles,,Company website: http://bit.ly/2xbLkDV,6807 State Road 70 East,Bradenton,FL,34203,"6807 State Road 70 East, Bradenton, FL 34203",Tag Services,Check,,,27.4464823,-82.473548,
106,106,Friends of Matt Caldwell,3/2/17,7500,"BARRON COLLIER RESOURCES, LLLP","Collier County-based land development, ag production and mineral management company owned by the Collier family.",,Company website: http://bit.ly/2xcbOoD,2600 Gold Gate Parkway,Naples,FL,34105,"2600 Gold Gate Parkway, Naples, FL 34105",Real Estate,Check,,,26.1726461,-81.7701435,
44,44,Friends of Matt Caldwell,2/13/17,15000,FREE MARKETS FOR FLORIDA,Chaired by Ray Rodrigues; also associated with Travis Cummings and Manny Diaz,got 10k from cosat nursery farms on 2/8; ,PAC website: http://bit.ly/2xc0WXLhttp://bit.ly/2xc5Owf,8695 College Parkway #1386,Fort Myers,FL,33919,"8695 College Parkway #1386, Fort Myers, FL 33919",Political Comm,Check,,,26.5556479,-81.8989835,
99,99,Friends of Matt Caldwell,3/2/17,500,Beverly H. McNew Revocable Tru,"Fort Myers organization dedicated to assisting orgs that research and cure childhood diseases and illnesses, help homeless chidren, and help christian organizations",,Org's Facebook: http://bit.ly/2xbY7Gh; Foundation directory: http://bit.ly/2xcBKke,5571 Halifax Ave,Fort Myers,FL,33912,"5571 Halifax Ave, Fort Myers, FL 33912",Trust,Check,,,26.5314715,-81.8613921,
49,49,Friends of Matt Caldwell,2/16/17,250,Bone Dry Restoration and Cleanin,24 hour Emergency Water Damage Restoration company,,Company website: http://bit.ly/2xbL0VJ,1285 Smoke Rise Lane,Tallahassee,FL,32317,"1285 Smoke Rise Lane, Tallahassee, FL 32317",Cleaning Serv,Check,,,30.4663906,-84.1804481,
82,82,Friends of Matt Caldwell,2/28/17,2500,Floridians for Economic Freedom,Rep. Chris Sprowl's PAC,"$10,000 from Dosal Tobacco Corporation on 02/27/2017",Florida Division of elections: http://bit.ly/2xcsOLk,2055 NW Diamond Creek Way,Jensen Beach,FL,349,"2055 NW Diamond Creek Way, Jensen Beach, FL 00349",Political Comm,Check,,,27.2461501,-80.2804147,
108,108,Friends of Matt Caldwell,3/3/17,230.05,Capital City Consulting,Tallahassee-based lobbying group,,Company website: http://bit.ly/2xbL0VJ,"101 East College Ave, Ste 502",Tallahassee,FL,32301,"101 East College Ave, Ste 502, Tallahassee, FL 32301",Governmental,Check,,,30.440553,-84.281704,
